id,sentiment
1064307262318145537,pos
1064307258346143744,neg
1064307258329350144,neg
1064307258161537025,neg
1064307255485575169,pos
1064307248820670464,pos
1064307247617069057,pos
1064307246769815552,pos
1064307246170087425,pos
1064307246098731008,pos
1064307245972783104,neg
1064307233192841216,pos
1064307231817170944,pos
1064307231259312129,pos
1064307230802173955,pos
1064307227169701888,pos
1064307226498801667,neg
1064307223382433797,pos
1064307220517543936,pos
1064307216159842305,pos
1064307212233859072,pos
1064307207431307265,pos
1064307206118608896,neg
1064307198040440833,neg
1064307190314557440,neg
1064307190196883456,neg
1064307189072846848,pos
1064307183012249600,pos
1064307180394987525,pos
1064307177857396736,neg
1064307170492260353,neg
1064307164305653760,pos
1064307161273155584,pos
1064307160564334592,pos
1064307148530860033,neg
1064307145401909248,pos
1064307133230063616,pos
1064307126204477440,neg
1064307120932380674,pos
1064307118860378112,pos
1064307104805240837,neg
1064307101973929984,pos
1064307098400563200,pos
1064307091047886849,pos
1064307089332416512,pos
1064307086790660096,pos
1064307085075251202,neg
1064307084957646849,pos
1064307084479553536,pos
1064307083883892736,neg
1064307069954809856,neg
1064307065739460608,pos
1064307059783536643,pos
1064307057950507008,pos
1064307054599376896,pos
1064307054087675904,neg
1064307053190090752,pos
1064307032327639041,pos
1064307031681703936,neg
1064307031618830337,pos
1064307022655619072,neg
1064307021481152512,pos
1064307020012998656,pos
1064307019170148352,neg
1064307015093108736,pos
1064307011079290880,pos
1064307005664448512,neg
1064307002979930112,pos
1064306997212925953,pos
1064306993681317890,pos
1064306992800559105,pos
1064306987624792069,pos
1064306983283695617,pos
1064306963889016832,neg
1064306961401950209,pos
1064306945048436736,neg
1064306943865569280,pos
1064306940799373312,pos
1064306937439952897,neg
1064306927256068096,pos
1064306915080093696,pos
1064306914656346112,neg
1064306909002399745,pos
1064306908272738304,pos
1064306902748688385,pos
1064306899330330624,neg
1064306896314789890,neg
1064306884155449344,neg
1064306874311413768,neg
1064306871891304450,neg
1064306864731668480,neg
1064306857336926208,pos
1064306854493249536,neg
1064306851313926144,pos
1064306849074343936,pos
1064306849057554432,neg
1064306847400611840,pos
1064306837594480640,pos
1064306826240499713,neg
1064306825368141825,neg
1064306809530241024,pos
1064306808452538369,pos
1064306800156123136,pos
1064306795223511040,pos
1064306794623725568,pos
1064306789963964419,neg
1064306785757143041,neg
1064306782229557248,neg
1064306781441142784,neg
1064306778056335360,pos
1064306776764489728,pos
1064306765842587648,neg
1064306764282249216,pos
1064306764013744128,pos
1064306757000933377,neg
1064306755944030208,neg
1064306751384809474,pos
1064306746712367104,neg
1064306744375992321,pos
1064306739472986112,pos
1064306734439768065,pos
1064306726554427392,pos
1064306723404566529,neg
1064306722846593024,neg
1064306721844191233,pos
1064306721093505024,pos
1064306720518791168,pos
1064306720170745858,neg
1064306720061689856,pos
1064306718203555840,pos
1064306717846994946,pos
1064306716584628225,neg
1064306713900302336,pos
1064306712641970177,pos
1064306710280462336,neg
1064306707763843072,pos
1064306706899976193,neg
1064306706413441024,pos
1064306695709577222,pos
1064306694870654977,pos
1064306679108567040,neg
1064306676260630528,pos
1064306673572081664,pos
1064306667922190336,pos
1064306666454151168,neg
1064306666093666304,neg
1064306665581944832,neg
1064306662851428353,pos
1064306657071689728,pos
1064306647865139207,neg
1064306646703325185,pos
1064306646283886592,pos
1064306640776773632,pos
1064306635936542725,neg
1064306633814097921,neg
1064306633163960320,pos
1064306632731983873,pos
1064306628420284416,neg
1064306628160192512,pos
1064306617406156800,pos
1064306599437701120,neg
1064306599383179264,neg
1064306595767607296,pos
1064306592118595584,pos
1064306591158087681,pos
1064306590193459200,neg
1064306588708671488,pos
1064306587077156865,pos
1064306585948823552,neg
1064306580999557120,pos
1064306580928237570,pos
1064306569884651521,pos
1064306566726176769,neg
1064306563870003201,pos
1064306562791919616,pos
1064306560988516352,pos
1064306559587676160,neg
1064306556928430080,neg
1064306555854696449,pos
1064306553736564736,pos
1064306551643549696,neg
1064306549395349504,pos
1064306543905177602,pos
1064306528172351490,pos
1064306525081165824,pos
1064306524716187649,neg
1064306523642503168,pos
1064306509608296448,pos
1064306509138575360,pos
1064306507217399809,neg
1064306505279856640,pos
1064306497516175361,pos
1064306496425537536,pos
1064306484585082880,pos
1064306481699438592,neg
1064306480730566657,pos
1064306479740538880,pos
1064306471943487488,pos
1064306471230410753,neg
1064306468923555840,neg
1064306465224253440,neg
1064306453371076608,pos
1064306451865370624,neg
1064306451412332544,neg
